instance, algorithm, value, runningTime, initialValue, steps, evaluatedSolutions
chr12b, random, 43666, 164, -1, -1, -1 
chr12b, random, 20872, 33, -1, -1, -1 
chr12b, random, 23720, 30, -1, -1, -1 
chr12b, random, 19414, 30, -1, -1, -1 
chr12b, random, 23300, 30, -1, -1, -1 
chr12b, random, 19876, 30, -1, -1, -1 
chr12b, random, 19200, 30, -1, -1, -1 
chr12b, random, 21816, 30, -1, -1, -1 
chr12b, random, 16624, 30, -1, -1, -1 
chr12b, random, 20258, 30, -1, -1, -1 
chr12b, heuristic, 42914, 105, -1, -1, -1 
chr12b, heuristic, 42914, 3, -1, -1, -1 
chr12b, heuristic, 42914, 3, -1, -1, -1 
chr12b, heuristic, 42914, 4, -1, -1, -1 
chr12b, heuristic, 42914, 3, -1, -1, -1 
chr12b, heuristic, 42914, 2, -1, -1, -1 
chr12b, heuristic, 42914, 3, -1, -1, -1 
chr12b, heuristic, 42914, 1, -1, -1, -1 
chr12b, heuristic, 42914, 1, -1, -1, -1 
chr12b, heuristic, 42914, 1, -1, -1, -1 
chr12b, greedy-2swap, 19784, 148, 39734, 13, 279 
chr12b, greedy-2swap, 15032, 21, 41140, 12, 385 
chr12b, greedy-2swap, 11590, 22, 61670, 19, 348 
chr12b, greedy-2swap, 15160, 11, 31874, 14, 365 
chr12b, greedy-2swap, 19088, 11, 46982, 15, 388 
chr12b, greedy-2swap, 11768, 18, 49168, 28, 674 
chr12b, greedy-2swap, 13486, 13, 40902, 17, 541 
chr12b, greedy-2swap, 13170, 14, 31204, 22, 636 
chr12b, greedy-2swap, 13170, 12, 50668, 20, 396 
chr12b, greedy-2swap, 16130, 7, 53680, 12, 377 
chr12b, greedy-3swap, 15202, 225, 55052, 14, 664 
chr12b, greedy-3swap, 11768, 34, 40532, 13, 387 
chr12b, greedy-3swap, 9742, 34, 47712, 26, 599 
chr12b, greedy-3swap, 16858, 33, 54316, 13, 386 
chr12b, greedy-3swap, 10766, 27, 58514, 20, 416 
chr12b, greedy-3swap, 16616, 32, 39528, 19, 827 
chr12b, greedy-3swap, 11628, 21, 37292, 17, 878 
chr12b, greedy-3swap, 13356, 13, 62902, 17, 373 
chr12b, greedy-3swap, 17014, 12, 25140, 7, 317 
chr12b, greedy-3swap, 13844, 22, 41690, 17, 849 
chr12b, steepest-2swap, 11768, 82, 44650, 11, 726 
chr12b, steepest-2swap, 9742, 23, 39324, 8, 528 
chr12b, steepest-2swap, 15766, 9, 22134, 2, 132 
chr12b, steepest-2swap, 12476, 21, 44260, 9, 594 
chr12b, steepest-2swap, 12850, 18, 35796, 12, 792 
chr12b, steepest-2swap, 15486, 19, 26512, 6, 396 
chr12b, steepest-2swap, 14908, 11, 44416, 7, 462 
chr12b, steepest-2swap, 15608, 11, 41430, 6, 396 
chr12b, steepest-2swap, 13406, 11, 61090, 6, 396 
chr12b, steepest-2swap, 17852, 11, 35618, 5, 330 
chr12b, steepest-3swap, 20452, 81, 54176, 5, 2530 
chr12b, steepest-3swap, 9742, 95, 49390, 7, 3542 
chr12b, steepest-3swap, 15646, 62, 46234, 6, 3036 
chr12b, steepest-3swap, 9742, 46, 42500, 7, 3542 
chr12b, steepest-3swap, 13486, 20, 26868, 3, 1518 
chr12b, steepest-3swap, 16472, 23, 48506, 4, 2024 
chr12b, steepest-3swap, 12476, 51, 31624, 10, 5060 
chr12b, steepest-3swap, 13126, 32, 54802, 6, 3036 
chr12b, steepest-3swap, 16502, 27, 57056, 5, 2530 
chr12b, steepest-3swap, 13170, 27, 58182, 5, 2530 
chr12b, tabu-2swap, 17112, 926, 37940, 300, 19800 
chr12b, tabu-2swap, 9742, 442, 34072, 300, 19800 
chr12b, tabu-2swap, 16616, 198, 44224, 300, 19800 
chr12b, tabu-2swap, 9742, 220, 58796, 300, 19800 
chr12b, tabu-2swap, 20490, 189, 48994, 300, 19800 
chr12b, tabu-2swap, 16748, 216, 30924, 300, 19800 
chr12b, tabu-2swap, 20024, 280, 40894, 300, 19800 
chr12b, tabu-2swap, 18038, 183, 39418, 300, 19800 
chr12b, tabu-2swap, 15608, 176, 52346, 300, 19800 
chr12b, tabu-2swap, 17448, 184, 65244, 300, 19800 
chr12b, tabu-3swap, 14378, 1478, 47602, 300, 151800 
chr12b, tabu-3swap, 9742, 1423, 45076, 300, 151800 
chr12b, tabu-3swap, 10102, 1453, 32294, 300, 151800 
chr12b, tabu-3swap, 15202, 1424, 38096, 300, 151800 
chr12b, tabu-3swap, 9742, 1479, 54798, 300, 151800 
chr12b, tabu-3swap, 16534, 1460, 54994, 300, 151800 
chr12b, tabu-3swap, 13170, 1456, 56414, 300, 151800 
chr12b, tabu-3swap, 11628, 1506, 48392, 300, 151800 
chr12b, tabu-3swap, 10102, 1426, 56408, 300, 151800 
chr12b, tabu-3swap, 10102, 1413, 52550, 300, 151800 
had12, random, 1720, 30, -1, -1, -1 
had12, random, 1710, 30, -1, -1, -1 
had12, random, 1710, 30, -1, -1, -1 
had12, random, 1724, 30, -1, -1, -1 
had12, random, 1708, 30, -1, -1, -1 
had12, random, 1710, 30, -1, -1, -1 
had12, random, 1702, 30, -1, -1, -1 
had12, random, 1716, 30, -1, -1, -1 
had12, random, 1708, 30, -1, -1, -1 
had12, random, 1712, 30, -1, -1, -1 
had12, heuristic, 1916, 355, -1, -1, -1 
had12, heuristic, 1916, 1, -1, -1, -1 
had12, heuristic, 1916, 1, -1, -1, -1 
had12, heuristic, 1916, 1, -1, -1, -1 
had12, heuristic, 1916, 1, -1, -1, -1 
had12, heuristic, 1916, 1, -1, -1, -1 
had12, heuristic, 1916, 1, -1, -1, -1 
had12, heuristic, 1916, 1, -1, -1, -1 
had12, heuristic, 1916, 2, -1, -1, -1 
had12, heuristic, 1916, 1, -1, -1, -1 
had12, greedy-2swap, 1670, 6, 1870, 14, 345 
had12, greedy-2swap, 1682, 9, 1918, 21, 593 
had12, greedy-2swap, 1656, 11, 1876, 17, 619 
had12, greedy-2swap, 1678, 9, 1842, 16, 533 
had12, greedy-2swap, 1694, 2, 1910, 8, 211 
had12, greedy-2swap, 1660, 6, 1914, 21, 577 
had12, greedy-2swap, 1690, 3, 1862, 11, 272 
had12, greedy-2swap, 1686, 3, 1874, 12, 282 
had12, greedy-2swap, 1676, 5, 1872, 16, 496 
had12, greedy-2swap, 1682, 6, 1934, 17, 397 
had12, greedy-3swap, 1662, 14, 1836, 12, 413 
had12, greedy-3swap, 1684, 12, 1824, 11, 200 
had12, greedy-3swap, 1652, 23, 1938, 18, 771 
had12, greedy-3swap, 1678, 14, 1800, 14, 1021 
had12, greedy-3swap, 1678, 17, 1878, 21, 599 
had12, greedy-3swap, 1676, 20, 1896, 16, 860 
had12, greedy-3swap, 1660, 16, 1926, 24, 535 
had12, greedy-3swap, 1656, 21, 1774, 11, 1183 
had12, greedy-3swap, 1676, 13, 1940, 21, 593 
had12, greedy-3swap, 1654, 13, 1968, 27, 559 
had12, steepest-2swap, 1680, 7, 1924, 6, 396 
had12, steepest-2swap, 1656, 7, 1894, 9, 594 
had12, steepest-2swap, 1672, 4, 1902, 6, 396 
had12, steepest-2swap, 1682, 5, 1916, 8, 528 
had12, steepest-2swap, 1684, 8, 1970, 10, 660 
had12, steepest-2swap, 1660, 5, 1836, 7, 462 
had12, steepest-2swap, 1674, 11, 1900, 10, 660 
had12, steepest-2swap, 1660, 8, 1874, 7, 462 
had12, steepest-2swap, 1696, 5, 1842, 6, 396 
had12, steepest-2swap, 1660, 18, 1956, 8, 528 
had12, steepest-3swap, 1676, 29, 1912, 3, 1518 
had12, steepest-3swap, 1676, 37, 1802, 5, 2530 
had12, steepest-3swap, 1678, 37, 1906, 5, 2530 
had12, steepest-3swap, 1688, 41, 1950, 4, 2024 
had12, steepest-3swap, 1676, 40, 1874, 5, 2530 
had12, steepest-3swap, 1682, 44, 1870, 5, 2530 
had12, steepest-3swap, 1656, 63, 1928, 7, 3542 
had12, steepest-3swap, 1666, 58, 1786, 7, 3542 
had12, steepest-3swap, 1680, 29, 1904, 3, 1518 
had12, steepest-3swap, 1680, 26, 1838, 4, 2024
had12, tabu-2swap, 1674, 185, 1822, 300, 19800 
had12, tabu-2swap, 1678, 188, 1890, 300, 19800 
had12, tabu-2swap, 1676, 189, 1802, 300, 19800 
had12, tabu-2swap, 1676, 169, 1892, 300, 19800 
had12, tabu-2swap, 1666, 194, 1920, 300, 19800 
had12, tabu-2swap, 1664, 177, 1822, 300, 19800 
had12, tabu-2swap, 1664, 177, 1922, 300, 19800 
had12, tabu-2swap, 1660, 191, 1924, 300, 19800 
had12, tabu-2swap, 1662, 178, 1952, 300, 19800 
had12, tabu-2swap, 1670, 187, 1904, 300, 19800 
had12, tabu-3swap, 1674, 1387, 1884, 300, 151800 
had12, tabu-3swap, 1670, 1403, 1856, 300, 151800 
had12, tabu-3swap, 1656, 1439, 1802, 300, 151800 
had12, tabu-3swap, 1656, 1392, 1894, 300, 151800 
had12, tabu-3swap, 1652, 1414, 1854, 300, 151800 
had12, tabu-3swap, 1656, 1421, 1990, 300, 151800 
had12, tabu-3swap, 1656, 1381, 1908, 300, 151800 
had12, tabu-3swap, 1656, 1381, 1936, 300, 151800 
had12, tabu-3swap, 1678, 1423, 1868, 300, 151800 
had12, tabu-3swap, 1654, 1372, 1834, 300, 151800 
bur26a, random, 5560245, 514, -1, -1, -1 
bur26a, random, 5604263, 500, -1, -1, -1 
bur26a, random, 5574860, 500, -1, -1, -1 
bur26a, random, 5590192, 500, -1, -1, -1 
bur26a, random, 5558852, 500, -1, -1, -1 
bur26a, random, 5557969, 500, -1, -1, -1 
bur26a, random, 5556544, 500, -1, -1, -1 
bur26a, random, 5574350, 500, -1, -1, -1 
bur26a, random, 5583017, 500, -1, -1, -1 
bur26a, random, 5589146, 500, -1, -1, -1
bur26a, heuristic, 6002852, 212, -1, -1, -1 
bur26a, heuristic, 6002852, 14, -1, -1, -1 
bur26a, heuristic, 6002852, 11, -1, -1, -1 
bur26a, heuristic, 6002852, 6, -1, -1, -1 
bur26a, heuristic, 6002852, 4, -1, -1, -1 
bur26a, heuristic, 6002852, 3, -1, -1, -1 
bur26a, heuristic, 6002852, 6, -1, -1, -1 
bur26a, heuristic, 6002852, 3, -1, -1, -1 
bur26a, heuristic, 6002852, 3, -1, -1, -1 
bur26a, heuristic, 6002852, 3, -1, -1, -1 
bur26a, greedy-2swap, 5448289, 534, 5847659, 78, 4046 
bur26a, greedy-2swap, 5437225, 312, 5866774, 96, 6025 
bur26a, greedy-2swap, 5443413, 321, 5779916, 102, 7011 
bur26a, greedy-2swap, 5452043, 267, 6153604, 112, 6105 
bur26a, greedy-2swap, 5445606, 259, 5939601, 97, 5796 
bur26a, greedy-2swap, 5438137, 179, 6168188, 91, 3655 
bur26a, greedy-2swap, 5463978, 323, 5958174, 83, 6317 
bur26a, greedy-2swap, 5443342, 322, 6038053, 90, 6322 
bur26a, greedy-2swap, 5455946, 246, 5896165, 91, 5347 
bur26a, greedy-2swap, 5438914, 198, 5973276, 87, 4540 
