instance, algorithm, value, runningTime, initialValue, steps, evaluatedSolutions
tai60a, random, 8175842, 1000012, -1, -1, -1 
tai60a, greedy-2swap, 7531568, 9604, 8571854, 129, 26751 
tai60a, greedy-2swap, 7536634, 8684, 8536824, 139, 31244 
tai60a, greedy-2swap, 7493138, 8400, 8506910, 131, 30219 
tai60a, greedy-2swap, 7558110, 6370, 8369272, 120, 21980 
tai60a, greedy-2swap, 7522048, 7192, 8543032, 139, 24914 
tai60a, greedy-2swap, 7637082, 5003, 8483648, 115, 16861 
tai60a, greedy-2swap, 7583684, 5404, 8635230, 141, 18415 
tai60a, greedy-2swap, 7508804, 10866, 8530264, 143, 38961 
tai60a, greedy-2swap, 7584634, 6652, 8466784, 117, 23187 
tai60a, greedy-2swap, 7492980, 8274, 8543448, 132, 29462 
tai60a, greedy-2swap, 7528820, 6535, 8460278, 121, 22791 
tai60a, greedy-2swap, 7534446, 7410, 8496638, 116, 26603 
tai60a, greedy-2swap, 7575616, 6496, 8642766, 146, 23184 
tai60a, greedy-2swap, 7510706, 4185, 8655372, 139, 14146 
tai60a, greedy-2swap, 7531950, 7691, 8528226, 112, 27228 
tai60a, greedy-2swap, 7546744, 6022, 8541818, 108, 20878 
tai60a, greedy-2swap, 7596728, 6473, 8389492, 96, 22059 
tai60a, greedy-2swap, 7512774, 6979, 8429674, 127, 23669 
tai60a, greedy-2swap, 7536826, 8362, 8509888, 128, 29659 
tai60a, greedy-2swap, 7580388, 5615, 8552850, 126, 19511 
tai60a, greedy-2swap, 7632682, 4210, 8605446, 119, 13671 
tai60a, greedy-2swap, 7471096, 11023, 8602762, 172, 40212 
tai60a, greedy-2swap, 7479106, 8762, 8407976, 120, 30837 
tai60a, greedy-2swap, 7525740, 5107, 8402638, 131, 17445 
tai60a, greedy-2swap, 7554028, 6382, 8556862, 137, 22599 
tai60a, greedy-2swap, 7542320, 5500, 8515364, 125, 18861 
tai60a, greedy-2swap, 7525220, 12708, 8539826, 140, 46304 
tai60a, greedy-2swap, 7516080, 6538, 8513758, 142, 22682 
tai60a, greedy-2swap, 7546504, 6936, 8545540, 151, 23940 
tai60a, greedy-2swap, 7588502, 2837, 8394498, 97, 8489 
tai60a, greedy-2swap, 7620578, 4512, 8396698, 114, 15447 
tai60a, greedy-2swap, 7538234, 4604, 8453538, 116, 15686 
tai60a, greedy-2swap, 7518978, 5645, 8549570, 129, 19621 
tai60a, greedy-2swap, 7540426, 6899, 8505100, 144, 23895 
tai60a, greedy-2swap, 7567968, 6109, 8571110, 118, 21250 
tai60a, greedy-2swap, 7559426, 5046, 8523876, 136, 17419 
tai60a, greedy-2swap, 7528118, 6005, 8383456, 124, 21433 
tai60a, greedy-2swap, 7536060, 5642, 8483876, 114, 19464 
tai60a, greedy-2swap, 7561864, 6703, 8517370, 127, 23138 
tai60a, greedy-2swap, 7545160, 5672, 8503006, 127, 19716 
tai60a, greedy-2swap, 7513672, 8920, 8578844, 152, 31087 
tai60a, greedy-2swap, 7478790, 10167, 8633414, 145, 37193 
tai60a, greedy-2swap, 7585448, 5357, 8469320, 122, 18801 
tai60a, greedy-2swap, 7545772, 7233, 8493372, 133, 25236 
tai60a, greedy-2swap, 7567512, 6495, 8682268, 128, 22459 
tai60a, greedy-2swap, 7529310, 8107, 8528594, 123, 29452 
tai60a, greedy-2swap, 7510412, 6713, 8473530, 134, 23386 
tai60a, greedy-2swap, 7562742, 8867, 8670892, 150, 31389 
tai60a, greedy-2swap, 7550236, 4918, 8553500, 141, 12812 
tai60a, greedy-2swap, 7512082, 7945, 8352396, 123, 27700 
tai60a, greedy-2swap, 7569126, 5115, 8534936, 124, 17332 
tai60a, greedy-2swap, 7565104, 6639, 8609916, 147, 21961 
tai60a, greedy-2swap, 7540932, 8436, 8626460, 136, 29933 
tai60a, greedy-2swap, 7572896, 6707, 8622204, 125, 23903 
tai60a, greedy-2swap, 7591568, 5814, 8518230, 120, 20130 
tai60a, greedy-2swap, 7548362, 8036, 8584012, 146, 28588 
tai60a, greedy-2swap, 7612912, 5215, 8541382, 124, 17946 
tai60a, greedy-2swap, 7460910, 7255, 8548104, 158, 25290 
tai60a, greedy-2swap, 7623204, 4164, 8402966, 93, 13683 
tai60a, greedy-2swap, 7520440, 6802, 8552904, 129, 24136 
tai60a, greedy-2swap, 7573124, 4912, 8588004, 119, 16314 
tai60a, greedy-2swap, 7547408, 6901, 8654572, 154, 24311 
tai60a, greedy-2swap, 7565838, 5514, 8546078, 124, 19100 
tai60a, greedy-2swap, 7547234, 7819, 8472874, 130, 27609 
tai60a, greedy-2swap, 7571626, 5176, 8466286, 127, 18190 
tai60a, greedy-2swap, 7477178, 8730, 8453688, 132, 30773 
tai60a, greedy-2swap, 7501420, 8357, 8491034, 138, 29760 
tai60a, greedy-2swap, 7535612, 8705, 8530848, 126, 31475 
tai60a, greedy-2swap, 7527554, 6399, 8548604, 144, 22213 
tai60a, greedy-2swap, 7559714, 6966, 8495002, 130, 24481 
tai60a, greedy-2swap, 7488556, 7441, 8590412, 137, 25800 
tai60a, greedy-2swap, 7508864, 6863, 8406034, 120, 24369 
tai60a, greedy-2swap, 7527104, 8732, 8443818, 118, 31260 
tai60a, greedy-2swap, 7577324, 7381, 8469358, 125, 25936 
tai60a, greedy-2swap, 7574872, 7068, 8435528, 122, 24771 
tai60a, greedy-2swap, 7512022, 8806, 8472286, 136, 31753 
tai60a, greedy-2swap, 7536154, 6383, 8465408, 137, 22218 
tai60a, greedy-2swap, 7553310, 6039, 8712950, 134, 20796 
tai60a, greedy-2swap, 7549938, 9399, 8293212, 103, 33845 
tai60a, greedy-2swap, 7548034, 7716, 8607918, 151, 27893 
tai60a, greedy-2swap, 7506588, 5776, 8473120, 151, 19759 
tai60a, greedy-2swap, 7494770, 8299, 8634654, 140, 30354 
tai60a, greedy-2swap, 7421464, 8160, 8390052, 131, 29511 
tai60a, greedy-2swap, 7463286, 9013, 8451378, 136, 32017 
tai60a, greedy-2swap, 7533196, 6770, 8551638, 145, 23519 
tai60a, greedy-2swap, 7573116, 5236, 8478296, 130, 17984 
tai60a, greedy-2swap, 7499180, 6570, 8544820, 120, 22950 
tai60a, greedy-2swap, 7556868, 5512, 8537720, 126, 19451 
tai60a, greedy-2swap, 7491916, 9059, 8500656, 156, 32801 
tai60a, greedy-2swap, 7500186, 6980, 8605964, 143, 24818 
tai60a, greedy-2swap, 7531620, 5771, 8294430, 104, 20353 
tai60a, greedy-2swap, 7597564, 7136, 8525390, 116, 25151 
tai60a, greedy-2swap, 7610412, 4917, 8657344, 137, 16433 
tai60a, greedy-2swap, 7503926, 5391, 8496006, 142, 18988 
tai60a, greedy-2swap, 7530756, 8064, 8580432, 163, 28850 
tai60a, greedy-2swap, 7523118, 10974, 8661886, 179, 37431 
tai60a, greedy-2swap, 7479084, 9434, 8538738, 153, 34770 
tai60a, greedy-2swap, 7585654, 8666, 8382100, 110, 23577 
tai60a, greedy-2swap, 7530686, 12334, 8527516, 161, 24068 
tai60a, greedy-2swap, 7579624, 7088, 8606264, 126, 15721 
tai60a, greedy-2swap, 7480964, 13561, 8471518, 138, 45844 
tai60a, greedy-2swap, 7522778, 5521, 8483668, 111, 17124 
tai60a, greedy-2swap, 7539220, 9597, 8493012, 116, 29965 
tai60a, greedy-2swap, 7516056, 9192, 8531438, 121, 29518 
tai60a, greedy-2swap, 7574428, 7534, 8606362, 141, 23731 
tai60a, greedy-2swap, 7444670, 10209, 8498704, 134, 35109 
tai60a, greedy-2swap, 7564012, 8068, 8604912, 149, 26764 
tai60a, greedy-2swap, 7505518, 7243, 8600892, 140, 24703 
tai60a, greedy-2swap, 7508968, 8804, 8439672, 122, 29496 
tai60a, greedy-2swap, 7531924, 8111, 8670994, 152, 26973 
tai60a, greedy-2swap, 7595232, 4468, 8362448, 97, 14550 
tai60a, greedy-2swap, 7535616, 6025, 8587324, 124, 19425 
tai60a, greedy-2swap, 7546570, 8155, 8695894, 163, 27297 
tai60a, greedy-2swap, 7518132, 8384, 8572310, 147, 27871 
tai60a, greedy-2swap, 7518570, 6904, 8518026, 110, 21126 
tai60a, greedy-2swap, 7653984, 5236, 8421734, 95, 15939 
tai60a, greedy-2swap, 7481884, 4512, 8538724, 135, 14901 
tai60a, greedy-2swap, 7532848, 6669, 8380108, 102, 22404 
tai60a, greedy-2swap, 7629732, 4775, 8629128, 131, 15312 
tai60a, greedy-2swap, 7582024, 5980, 8479386, 112, 19384 
tai60a, greedy-2swap, 7499068, 8894, 8604374, 138, 29664 
tai60a, greedy-2swap, 7462994, 12741, 8602282, 153, 43483 
tai60a, greedy-2swap, 7572720, 5368, 8450816, 103, 17492 
tai60a, greedy-2swap, 7525538, 6239, 8386516, 119, 20430 
tai60a, greedy-2swap, 7524746, 6987, 8572500, 135, 22572 
tai60a, greedy-2swap, 7667518, 3044, 8374846, 76, 8855 
tai60a, greedy-2swap, 7554410, 8530, 8506488, 135, 26802 
tai60a, greedy-2swap, 7555724, 8108, 8471858, 129, 27356 
tai60a, greedy-2swap, 7630040, 4155, 8634214, 115, 13119 
tai60a, greedy-2swap, 7517178, 10221, 8545556, 132, 36167 
tai60a, greedy-2swap, 7541484, 5132, 8548126, 121, 17205 
tai60a, greedy-2swap, 7514032, 9311, 8554858, 164, 31939 
tai60a, greedy-2swap, 7606738, 5896, 8606650, 129, 20434 
tai60a, greedy-2swap, 7529214, 5761, 8448568, 124, 19755 
tai60a, greedy-2swap, 7534176, 9508, 8437516, 125, 33759 
tai60a, greedy-2swap, 7553738, 9848, 8478768, 124, 34085 
tai60a, greedy-2swap, 7543808, 3965, 8484114, 121, 13247 
tai60a, greedy-2swap, 7551698, 4856, 8592594, 136, 16394 
tai60a, greedy-2swap, 7516170, 6405, 8578474, 131, 21969 
tai60a, greedy-2swap, 7448796, 10948, 8498428, 139, 38728 
tai60a, greedy-2swap, 7516792, 8414, 8455204, 136, 30008 
tai60a, greedy-3swap, 7474656, 37418, 8517374, 132, 46263 
tai60a, greedy-3swap, 7487354, 29743, 8512542, 125, 34167 
tai60a, greedy-3swap, 7473224, 77719, 8492094, 135, 212690 
tai60a, greedy-3swap, 7438224, 124898, 8413260, 134, 394092 
tai60a, greedy-3swap, 7499416, 68406, 8564126, 152, 190528 
tai60a, greedy-3swap, 7445084, 48494, 8441124, 146, 136663 
tai60a, greedy-3swap, 7449504, 42204, 8619820, 154, 108813 
tai60a, greedy-3swap, 7424260, 54614, 8571620, 159, 161876 
tai60a, greedy-3swap, 7397248, 60975, 8484458, 152, 190860 
tai60a, greedy-3swap, 7431646, 64655, 8509338, 153, 204500 
tai60a, greedy-3swap, 7469004, 36854, 8605018, 152, 87655 
tai60a, greedy-3swap, 7458064, 32650, 8527966, 121, 71323 
tai60a, greedy-3swap, 7464318, 52256, 8473766, 144, 155568 
tai60a, greedy-3swap, 7480932, 31989, 8417882, 131, 64218 
tai60a, greedy-3swap, 7462280, 89576, 8574020, 151, 312243 
tai60a, greedy-3swap, 7430776, 97520, 8374910, 148, 352624 
tai60a, greedy-3swap, 7407034, 36888, 8413402, 126, 94729 
tai60a, greedy-3swap, 7440458, 27256, 8506612, 163, 88478 
tai60a, steepest-2swap, 7493654, 14648, 8638232, 39, 69030 
tai60a, steepest-2swap, 7514408, 13032, 8531646, 39, 69030 
tai60a, steepest-2swap, 7555510, 15017, 8501324, 40, 70800 
tai60a, steepest-2swap, 7593098, 15493, 8454740, 28, 49560 
tai60a, steepest-2swap, 7531834, 19054, 8423806, 38, 67260 
tai60a, steepest-2swap, 7565784, 16642, 8578476, 33, 58410 
tai60a, steepest-2swap, 7642564, 14025, 8505204, 27, 47790 
tai60a, steepest-2swap, 7534602, 17595, 8529862, 34, 60180 
tai60a, steepest-2swap, 7548794, 21060, 8607888, 41, 72570 
tai60a, steepest-2swap, 7546872, 19191, 8470258, 37, 65490 
tai60a, steepest-2swap, 7597302, 13389, 8532974, 26, 46020 
tai60a, steepest-2swap, 7579828, 17275, 8500650, 34, 60180 
tai60a, steepest-2swap, 7545346, 16345, 8533944, 32, 56640 
tai60a, steepest-2swap, 7544060, 14512, 8558234, 28, 49560 
tai60a, steepest-2swap, 7525550, 15869, 8496728, 30, 53100 
tai60a, steepest-2swap, 7591696, 16540, 8602628, 32, 56640 
tai60a, steepest-2swap, 7594188, 18434, 8543580, 36, 63720 
tai60a, steepest-2swap, 7631474, 15144, 8516842, 29, 51330 
tai60a, steepest-2swap, 7542216, 16882, 8689122, 33, 58410 
tai60a, steepest-2swap, 7563468, 16412, 8541350, 33, 58410 
tai60a, steepest-2swap, 7596334, 11020, 8466276, 25, 44250 
tai60a, steepest-2swap, 7510536, 14461, 8426564, 32, 56640 
