instance, algorithm, value, finalPermutation, runningTime, initialValue, steps, evaluatedSolutions
had12,greedy-3swap, 1676, [3 2 6 10 11 7 12 5 8 1 4 9] ,425, 1836, 14, 372 
had12,greedy-3swap, 1662, [8 10 2 11 12 6 5 1 3 7 4 9] ,85, 1964, 37, 1433 
had12,greedy-3swap, 1678, [9 4 5 7 6 2 12 11 1 10 3 8] ,30, 2030, 19, 482 
had12,greedy-3swap, 1682, [9 4 7 6 12 11 2 5 1 10 3 8] ,27, 1978, 23, 281 
had12,greedy-3swap, 1660, [3 10 11 2 12 6 5 1 8 7 4 9] ,23, 1874, 15, 463 
had12,greedy-3swap, 1676, [9 4 5 11 12 7 6 10 1 2 3 8] ,42, 1872, 20, 881 
had12,greedy-3swap, 1684, [9 4 7 6 2 12 5 3 1 11 10 8] ,29, 1882, 21, 559 
had12,greedy-3swap, 1660, [9 4 7 1 6 11 5 2 8 12 10 3] ,14, 1912, 15, 274 
had12,greedy-3swap, 1652, [3 10 11 2 12 5 7 6 8 1 4 9] ,83, 1864, 18, 1351 
had12,greedy-3swap, 1676, [9 4 5 11 12 7 6 10 1 2 3 8] ,21, 1860, 20, 598 
had12,steepest-3swap, 1676, [8 3 5 10 12 11 2 7 1 6 4 9] ,185, 1812, 7, 3542 
had12,steepest-3swap, 1676, [9 4 5 11 12 7 6 10 1 2 3 8] ,107, 1944, 7, 3542 
had12,steepest-3swap, 1660, [9 4 1 6 7 11 5 2 8 12 10 3] ,59, 1936, 6, 3036 
had12,steepest-3swap, 1656, [3 10 5 2 12 11 7 1 8 6 4 9] ,78, 1838, 5, 2530 
had12,steepest-3swap, 1662, [8 10 2 11 12 6 5 1 3 7 4 9] ,43, 1822, 4, 2024 
had12,steepest-3swap, 1678, [9 4 5 6 7 2 12 11 1 3 10 8] ,62, 1862, 6, 3036 
had12,steepest-3swap, 1656, [3 10 5 2 12 11 7 1 8 6 4 9] ,45, 1840, 5, 2530 
had12,steepest-3swap, 1680, [9 4 5 7 12 11 6 2 1 10 3 8] ,44, 1812, 5, 2530 
had12,steepest-3swap, 1660, [9 4 1 7 6 11 5 2 8 12 10 3] ,32, 1966, 6, 3036 
had12,steepest-3swap, 1664, [9 4 1 7 11 6 12 5 8 2 10 3] ,30, 1954, 6, 3036 
bur26a,greedy-3swap, 5445455, [1 4 15 3 26 11 13 6 12 14 5 20 9 21 2 8 7 19 18 17 10 25 16 24 22 23] ,724, 6104791, 105, 8512 
bur26a,greedy-3swap, 5437128, [2 11 12 13 14 1 15 21 26 4 20 19 18 7 8 16 5 9 3 22 6 23 10 24 17 25] ,642, 5778485, 108, 11639 
bur26a,greedy-3swap, 5445366, [1 15 3 2 26 11 6 12 8 14 5 9 21 20 4 13 19 18 7 17 25 24 10 16 22 23] ,455, 5874945, 84, 6701 
bur26a,greedy-3swap, 5445319, [1 16 15 23 3 13 4 7 2 12 5 14 21 18 26 8 19 9 20 17 10 25 24 22 11 6] ,466, 5996894, 105, 6435 
bur26a,greedy-3swap, 5444582, [6 13 14 11 2 3 1 21 4 16 19 12 18 7 8 15 5 9 20 10 22 24 23 26 25 17] ,364, 5848589, 82, 4021 
